'(10, 13, [14], 1)' 1
'(3, 6, [14], 1)' 1
'(9, 12, [2], 2)' 2
'(1, 8, [11], 1)' 1
'(14, 12, [7], 2)' 2
'(7, 6, [3], 2)' 1
'(6, 3, [13], 2)' 2
'(1, 11, [14], 1)' 1
'(4, 13, [14], 2)' 2
'(14, 4, [7], 3)' 1
'(4, 5, [14], 2)' 1
'(10, 4, [14], 2)' 2
'(1, 7, [12], 1)' 1
'(1, 2, [10], 2)' 1
'(8, 10, [2], 1)' 1
'(7, 1, [14], 2)' 2
'(4, 9, [0], 1)' 1
'(4, 8, [1], 2)' 2
'(1, 6, [7], 2)' 2
'(1, 5, [13], 1)' 1
'(0, 5, [13], 2)' 2
'(6, 11, [5], 1)' 1
'(9, 14, [3], 2)' 2
'(8, 10, [1], 2)' 2
'(3, 2, [1], 2)' 1
'(9, 11, [3], 1)' 1
'(12, 5, [14], 2)' 2
'(2, 5, [11], 2)' 2
'(4, 1, [7], 2)' 2
'(0, 2, [3], 1)' 1
'(0, 2, [9], 1)' 1
'(0, 4, [7], 2)' 2
'(5, 14, [1], 2)' 2
'(14, 2, [10], 3)' 1
'(14, 12, [9], 2)' 2
'(4, 10, [12], 1)' 1
'(5, 1, [13], 2)' 2
'(2, 6, [0], 2)' 2
'(10, 9, [4], 2)' 1
'(0, 6, [8], 2)' 2
'(2, 5, [0], 2)' 2
'(13, 1, [0], 2)' 2
'(0, 7, [11], 1)' 1
'(8, 7, [1], 2)' 1
'(7, 9, [4], 2)' 2
'(1, 10, [14], 1)' 1
'(4, 8, [12], 2)' 2
'(12, 10, [5], 2)' 2
'(12, 7, [13], 2)' 2
'(0, 2, [8], 1)' 1
'(1, 4, [13], 1)' 1
'(7, 11, [5], 1)' 1
'(2, 12, [1], 1)' 1
'(9, 11, [12], 2)' 2
'(6, 8, [0], 1)' 1
'(1, 3, [12], 1)' 1
'(13, 9, [14], 2)' 2
'(11, 7, [0], 2)' 2
'(1, 4, [3], 4)' 1
'(0, 3, [6], 2)' 2
'(13, 9, [0], 2)' 2
'(1, 14, [0], 1)' 1
'(3, 12, [13], 1)' 1
'(14, 3, [12], 3)' 1
'(9, 3, [13], 2)' 2
'(4, 5, [8], 1)' 1
'(5, 6, [14], 2)' 1
'(0, 1, [14], 4)' 1
'(9, 5, [10], 2)' 2
'(4, 5, [6], 2)' 1
'(7, 8, [14], 1)' 1
'(5, 8, [13], 2)' 2
'(4, 11, [12], 2)' 2
'(0, 6, [13], 1)' 1
'(13, 12, [8], 2)' 1
'(9, 14, [0], 2)' 2
'(8, 11, [7], 2)' 2
'(2, 5, [13], 2)' 2
'(9, 12, [6], 2)' 2
'(4, 1, [5], 2)' 2
'(12, 3, [2], 2)' 2
'(12, 14, [11], 1)' 1
'(3, 14, [2], 2)' 2
'(9, 0, [10], 2)' 2
'(12, 14, [1], 2)' 2
'(5, 8, [2], 1)' 1
'(0, 1, [11], 1)' 1
'(9, 2, [1], 2)' 2
'(0, 1, [5], 2)' 1
'(7, 3, [12], 2)' 2
'(11, 0, [14], 2)' 2
'(6, 12, [5], 2)' 2
'(9, 12, [0], 2)' 2
'(14, 4, [0], 2)' 2
'(8, 11, [12], 1)' 1
'(4, 9, [3], 1)' 1
'(1, 9, [10], 2)' 2
'(11, 13, [10], 1)' 1
'(8, 12, [1], 2)' 2
'(10, 14, [7], 2)' 2
'(7, 8, [12], 2)' 1
'(7, 10, [1], 2)' 2
'(5, 2, [10], 2)' 2
'(9, 14, [4], 1)' 1
'(7, 11, [12], 2)' 2
'(6, 14, [3], 2)' 2
'(4, 1, [8], 2)' 2
'(13, 11, [10], 2)' 2
'(1, 8, [10], 1)' 1
'(10, 12, [1], 1)' 1
'(5, 1, [6], 2)' 2
'(7, 6, [14], 2)' 1
'(2, 10, [0], 1)' 1
'(4, 10, [0], 1)' 1
'(1, 8, [12], 1)' 1
'(8, 9, [4], 1)' 1
'(11, 4, [2], 2)' 2
'(14, 8, [12], 3)' 1
'(12, 13, [3], 1)' 1
'(10, 12, [4], 2)' 2
'(14, 2, [12], 3)' 1
'(11, 4, [12], 2)' 2
'(10, 11, [13], 1)' 1
'(14, 8, [3], 2)' 2
'(0, 8, [1], 4)' 1
'(6, 9, [13], 1)' 1
'(9, 12, [8], 1)' 1
'(5, 10, [11], 1)' 1
'(0, 4, [6], 1)' 1
'(5, 14, [0], 1)' 1
'(4, 7, [11], 2)' 2
'(0, 10, [12], 2)' 2
'(3, 5, [0], 2)' 2
'(5, 12, [1], 1)' 1
'(7, 10, [12], 1)' 1
'(3, 10, [1], 1)' 1
'(8, 12, [1], 1)' 1
'(1, 7, [8], 2)' 2
'(1, 3, [8], 1)' 1
'(0, 7, [12], 2)' 2
'(6, 13, [4], 1)' 1
'(1, 2, [8], 1)' 1
'(8, 14, [5], 2)' 2
'(5, 7, [9], 1)' 1
'(6, 11, [13], 2)' 2
'(3, 9, [1], 1)' 1
'(2, 6, [11], 2)' 2
'(3, 14, [0], 1)' 1
'(2, 3, [14], 1)' 1
'(8, 7, [12], 2)' 1
'(5, 4, [0], 2)' 1
'(6, 0, [11], 2)' 2
'(2, 8, [14], 1)' 1
'(8, 9, [6], 2)' 1
'(9, 6, [14], 2)' 2
'(0, 5, [11], 2)' 2
'(8, 7, [10], 2)' 1
'(6, 7, [0], 1)' 1
'(11, 8, [14], 2)' 2
'(1, 11, [14], 2)' 2
'(13, 12, [10], 2)' 1
'(7, 5, [8], 2)' 2
'(1, 7, [0], 1)' 1
'(4, 10, [12], 2)' 2
'(0, 8, [11], 2)' 2
'(4, 11, [12], 1)' 1
'(5, 8, [12], 1)' 1
'(6, 14, [2], 2)' 2
'(5, 2, [0], 2)' 2
'(0, 6, [14], 1)' 1
'(7, 10, [13], 2)' 2
'(6, 7, [8], 2)' 1
'(11, 8, [7], 2)' 2
'(9, 4, [2], 2)' 2
'(13, 14, [3], 2)' 1
'(2, 7, [13], 1)' 1
'(9, 13, [2], 1)' 1
'(12, 0, [13], 2)' 2
'(5, 8, [1], 2)' 2
'(8, 3, [10], 2)' 2
'(10, 13, [0], 1)' 1
'(3, 8, [12], 1)' 1
'(14, 2, None, 0)' 1
'(2, 8, [12], 1)' 1
'(6, 7, [14], 1)' 1
'(1, 2, [6], 2)' 1
'(5, 10, [2], 1)' 1
'(6, 8, [13], 2)' 2
'(12, 1, [0], 2)' 2
'(4, 8, [2], 2)' 2
'(6, 7, [1], 1)' 1
'(8, 6, [0], 2)' 2
'(14, 12, [8], 2)' 2
'(14, 9, [8], 2)' 2
'(14, 5, [3], 2)' 2
'(11, 14, [9], 1)' 1
'(6, 14, [1], 2)' 2
'(10, 3, [1], 2)' 2
'(5, 6, [9], 2)' 1
'(14, 11, [6], 2)' 2
'(11, 14, [10], 1)' 1
'(1, 5, [0], 2)' 2
'(6, 12, [0], 2)' 2
'(9, 12, [5], 2)' 2
'(14, 5, [13], 3)' 1
